TIME,Pass_ID,Time since ball possession change,Time to next ball possession change,Pressure on the ball (d1=9.0; d2=3.0; p=1.75),Pressure on the offense team (d1=9.0; d2=3.0; p=1.75),Threat to the defense goal from the offense team (maxD=35.0; r=1.5),Potential threat to the offense goal from the defense team (maxD=35.0; r=1.5),Ball distance to the defense goal,left-right,back-front,change,team,tsne_x,tsne_y,color_tsne,ae4_x,ae4_y,color_ae4,ae3_x,ae3_y,color_ae3,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,tsne_y_5000,tsne_x_5000,color_tsne_5000,order,id,Y
49:44.2,46,0.031919745,0.464537341,0.0,0.09609596699999999,0.0,0.20877646100000002,0.863843958,0.372144562,0.39058849700000003,0,1,81.75619499999999,19.929663,#275de8,2.8282757000000003,4.0462413,#852090,-2.2747669999999998,0.55791044,#a91766,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.69669,3.690597,#3a5adc,0,36,36
49:44.3,46,0.032831737,0.46359793299999996,0.0,0.092561219,0.0,0.207172052,0.8572787820000001,0.36464371,0.397374569,0,1,81.75012,20.01245,#275de9,2.8166745,4.0301714,#86218f,-2.268995,0.54946434,#a91766,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.649261,3.6796718,#3a5adc,0,37,37
49:44.4,46,0.03374373,0.462658525,0.0,0.088189139,0.0,0.20588283100000002,0.8506184590000001,0.358506648,0.404160641,0,1,81.76332,20.10191,#275de9,2.8050425,4.0144972999999995,#87228f,-2.2640734,0.5410861,#a91866,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.605343,3.668625,#3a5adb,0,38,38
49:44.4,46,0.034655723,0.461719117,0.0,0.08474612699999999,0.0,0.203347093,0.845385347,0.353392431,0.409166759,0,1,81.780304,20.179157,#275de9,2.7954613999999998,4.001345,#88238e,-2.25927,0.53375775,#a91867,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.566586,3.66186,#3a5adb,0,39,39
49:44.5,46,0.035567715,0.460779709,0.0,0.080217901,0.0,0.203347093,0.839771646,0.34810774,0.414729113,0,1,81.930786,20.243389999999998,#275de9,2.7850428,3.987596,#89248e,-2.2543943,0.526939,#a91967,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.531721,3.648197,#3a5adb,0,40,40
49:44.6,46,0.036479708,0.459840301,0.0,0.076673394,0.0,0.203347093,0.8340627970000001,0.343504944,0.42018022,0,1,81.95026999999999,20.319872,#275de9,2.7755148,3.9748201,#8a258d,-2.2513294,0.52019495,#a91967,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.502611,3.6373808,#3a5adb,0,41,41
49:44.7,46,0.037391701,0.458900892,0.0,0.073404093,0.0,0.203347093,0.828924833,0.33804977799999997,0.42485259799999997,0,1,81.72180999999999,20.422464,#275de9,2.7662325,3.9622053999999998,#8b268d,-2.2469072,0.51400685,#a91a67,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.47137,3.6286817,#3a5adb,0,42,42
49:44.8,46,0.038303694,0.457961484,0.0,0.07072424299999999,0.0,0.203347093,0.8236917220000001,0.333106035,0.429747469,0,1,81.75145,20.491979999999998,#275de9,2.7575226,3.9502415999999996,#8c268c,-2.243818,0.5077737,#a91a67,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.446407,3.6225178,#3b5adb,0,43,43
49:44.8,46,0.039215686,0.457022076,0.0,0.066881107,0.0,0.203347093,0.819410086,0.32969655600000003,0.433307376,0,1,81.831696,20.54499,#275de9,2.7493917999999997,3.939611,#8c278c,-2.240144,0.5025112,#a91a67,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.42257,3.6137817,#3b5adb,0,44,44
49:44.9,46,0.040127679,0.45608266799999997,0.0,0.065829075,0.0,0.203347093,0.819600381,0.331230822,0.431638669,0,1,81.82945,20.53816,#275de9,2.7488275,3.939015,#8c278c,-2.2400147999999995,0.5020814,#a91a67,3,0,2,6,2,6,6,6,10,6,14,6,6,11,15,15,16.418694,3.6150002,#3b5adb,0,45,45
